id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
924423486841077465,Rental unit in Shibuya City · ★4.79 · 1 bedroom · 3 beds · 1 bath,60738636,Ichigoichie,Shibuya Ku,35.65861301246223,139.69691261427997,Entire rental unit,Entire home/apt,4,3,25571.0,2,14,4.79,2.5
924497561008770234,Rental unit in Shinjuku City · 2 bedrooms · 3 beds · 2 baths,511606029,Rio,Shinjuku Ku,35.69641121623536,139.6966797670588,Entire rental unit,Entire home/apt,7,3,56000.0,3,1,5.0,0.67
924515973629159043,Rental unit in Sumida City · ★4.81 · 1 bedroom · 3 beds · 1 bath,493456770,Yuki,Sumida Ku,35.70640681481283,139.80433695486437,Entire rental unit,Entire home/apt,4,3,19679.0,1,16,4.81,6.23
923100363141339691,Rental unit in Shibuya City · ★New · 1 bedroom · 3 beds · 1.5 baths,34155786,Ij,Shibuya Ku,35.655964,139.6915961,Entire rental unit,Entire home/apt,6,3,50487.0,2,0,4.75,1.61
923100370484138999,Rental unit in Shinjuku City · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,34155786,Ij,Shinjuku Ku,35.71105155399459,139.69663477790985,Entire rental unit,Entire home/apt,4,2,15771.0,2,11,4.73,2.48
923132709196905769,Rental unit in Shinjuku City · ★4.54 · 1 bedroom · 2 beds · 1 bath,518119710,伊藤,Shinjuku Ku,35.698122925798096,139.70609322077854,Entire rental unit,Entire home/apt,4,2,27857.0,2,13,4.54,2.2
924544423771877846,Rental unit in Shinjuku City · ★4.75 · 1 bedroom · 1 bed · 1 bath,112031940,Trip,Shinjuku Ku,35.69699,139.69285,Entire rental unit,Entire home/apt,2,1,17071.0,1,4,4.75,1.9
924834603067674458,Home in Itabashi City · 1 bedroom · 4 beds · 1 bath,61644450,Jing,Itabashi Ku,35.76208054327985,139.7019782920683,Entire home,Entire home/apt,4,4,20714.0,3,1,5.0,0.23
924835829283266678,Home in Katsushika City · 4 bedrooms · 8 beds · 1.5 baths,513564293,旭昭,Katsushika Ku,35.72265,139.85533,Entire home,Entire home/apt,8,8,32143.0,1,2,5.0,0.41
924938121215913381,Home in Taito City · ★5.0 · 3 bedrooms · 4 beds · 1 bath,522834148,Keisuke,Arakawa Ku,35.72743,139.78446,Entire home,Entire home/apt,12,4,45543.0,4,3,5.0,2.37
923139339175443870,Rental unit in Toshima City · 1 bedroom · 1 bed · 1 bath,522358056,レイ,Toshima Ku,35.73759,139.70766,Entire rental unit,Entire home/apt,4,1,68375.375,1,0,4.74,1.21
923332916730593635,Rental unit in Mitaka-Shi · ★4.81 · 1 bedroom · 5 beds · 1 bath,199545766,Mami,Mitaka Shi,35.69997,139.55921,Entire rental unit,Entire home/apt,5,5,10857.0,2,16,4.81,2.84
924962477208518839,Rental unit in Shinjuku City · ★4.89 · 1 bedroom · 1 bed · 1 bath,330316857,Hotel,Toshima Ku,35.72024,139.70609,Entire rental unit,Entire home/apt,2,1,15805.0,1,9,4.89,1.63
925018291586959436,Rental unit in Shinjuku City · ★4.29 · 1 bedroom · 1 bed · 1 bath,330316857,Hotel,Shinjuku Ku,35.722,139.70449,Entire rental unit,Entire home/apt,2,1,15805.0,1,7,4.29,1.83
925029567143768445,Rental unit in Ota City · ★3.75 · Studio · 2 beds · 1 bath,174504697,Hiro,Ota Ku,35.56500186077252,139.7109683873589,Entire rental unit,Entire home/apt,3,2,16143.0,2,4,3.75,0.78
925057904836029675,Rental unit in Sumida City · ★4.53 · 1 bedroom · 2 beds · 1 bath,521872005,逸夫,Sumida Ku,35.70623844884381,139.80294417723064,Entire rental unit,Entire home/apt,4,2,27571.0,2,15,4.53,3.1
925060646044386460,Rental unit in Sumida City · ★4.86 · 1 bedroom · 1 bed · 1 bath,521872005,逸夫,Sumida Ku,35.70667,139.8024,Entire rental unit,Entire home/apt,2,1,13286.0,2,7,4.86,1.38
925070891279664417,Rental unit in Bunkyo City · 1 bedroom · 2 beds · 1 bath,151970670,フューチャーリーディング,Kita Ku,35.73463597740282,139.75448691562391,Entire rental unit,Entire home/apt,5,2,12000.0,2,2,3.0,0.4
925085965449958904,Rental unit in Shibuya City · ★4.88 · 1 bedroom · 3 beds · 1 bath,60738636,Ichigoichie,Shibuya Ku,35.65922880000001,139.6960633,Entire rental unit,Entire home/apt,4,3,24286.0,2,17,4.88,3.19
925093578024861598,Rental unit in Toshima City · ★4.67 · 1 bedroom · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.737146529381626,139.68066074320402,Entire rental unit,Entire home/apt,2,1,10103.0,2,6,4.67,1.23
925098064544657256,Rental unit in Toshima City · ★4.0 · 1 bedroom · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.73516,139.68028,Entire rental unit,Entire home/apt,2,1,10103.0,2,10,4.0,1.82
925100284696530313,Rental unit in Toshima City · ★5.0 · Studio · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.7361279,139.6813567,Entire rental unit,Entire home/apt,2,1,10103.0,2,5,5.0,1.04
925102538857223630,Rental unit in Toshima City · ★4.18 · 1 bedroom · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.73526,139.68036,Entire rental unit,Entire home/apt,2,1,10103.0,2,11,4.18,1.98
925104217069982903,Rental unit in Toshima City · ★4.83 · 1 bedroom · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.73689,139.68041,Entire rental unit,Entire home/apt,2,1,10103.0,2,6,4.83,1.1
925105783634363103,Rental unit in Toshima City · ★4.75 · 1 bedroom · 1 bed · 1 bath,522860952,パロ,Toshima Ku,35.737268536563086,139.68200392345074,Entire rental unit,Entire home/apt,2,1,11227.0,2,11,4.75,2.2
925140011275752625,Home in Shibuya City · ★4.50 · 3 bedrooms · 5 beds · 1 bath,522870787,松浦,Shibuya Ku,35.684439044773754,139.67871537487252,Entire home,Entire home/apt,12,5,47657.0,2,14,4.5,2.66
